ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
326,308,-12,12,0,200,10,80,20,800,400,20,12,30
314,320,-12,12,0,200,10,80,20,800,400,20,12,30
302,332,-12,12,0,200,10,80,20,800,400,20,12,30
290,344,-12,12,0,200,10,80,20,800,400,20,12,30
278,356,-12,12,0,200,10,80,20,800,400,20,12,30
266,368,-12,12,0,200,10,80,20,800,400,20,12,30
254,356,-12,-12,0,200,10,80,20,800,400,20,12,30
242,344,-12,-12,0,200,10,80,20,800,400,20,12,30
230,332,-12,-12,0,200,10,80,20,800,400,20,12,30
218,320,-12,-12,0,200,10,80,20,800,400,20,12,30
206,308,-12,-12,0,200,10,80,20,800,400,20,12,30
194,296,-12,-12,0,200,10,80,20,800,400,20,12,30
182,284,-12,-12,0,200,10,80,20,800,400,20,12,30
170,272,-12,-12,0,200,10,80,20,800,400,20,12,30
158,260,-12,-12,0,200,10,80,20,800,400,20,12,30
146,248,-12,-12,0,200,10,80,20,800,400,20,12,30
134,236,-12,-12,0,200,10,80,20,800,400,20,12,30
122,224,-12,-12,0,200,10,80,20,800,400,20,12,30
110,212,-12,-12,0,200,10,80,20,800,400,20,12,30
98,200,-12,-12,0,200,10,80,20,800,400,20,12,30
86,188,-12,-12,0,200,10,80,20,800,400,20,12,30
74,176,-12,-12,0,200,10,80,20,800,400,20,12,30
62,164,-12,-12,0,200,10,80,20,800,400,20,12,30
50,152,-12,-12,0,200,10,80,20,800,400,20,12,30
38,140,-12,-12,0,200,10,80,20,800,400,20,12,30
50,128,12,-12,0,200,10,80,20,800,400,20,12,30
62,116,12,-12,0,200,10,80,20,800,400,20,12,30
74,104,12,-12,0,200,10,80,20,800,400,20,12,30
86,92,12,-12,0,200,10,80,20,800,400,20,12,30
98,80,12,-12,0,200,10,80,20,800,400,20,12,30
110,68,12,-12,0,200,10,80,20,800,400,20,12,30
122,56,12,-12,0,200,10,80,20,800,400,20,12,30
134,44,12,-12,0,200,10,80,20,800,400,20,12,30
146,32,12,-12,0,200,10,80,20,800,400,20,12,30
158,44,12,12,0,200,10,80,20,800,400,20,12,30
170,56,12,12,0,200,10,80,20,800,400,20,12,30
182,68,12,12,0,200,10,80,20,800,400,20,12,30
194,80,12,12,0,200,10,80,20,800,400,20,12,30
206,92,12,12,0,200,10,80,20,800,400,20,12,30
218,104,12,12,0,200,10,80,20,800,400,20,12,30
230,116,12,12,0,200,10,80,20,800,400,20,12,30
242,128,12,12,0,200,10,80,20,800,400,20,12,30
254,140,12,12,0,200,10,80,20,800,400,20,12,30
266,152,12,12,0,200,10,80,20,800,400,20,12,30
278,164,12,12,0,200,10,80,20,800,400,20,12,30
290,176,12,12,0,200,10,80,20,800,400,20,12,30
302,188,12,12,0,200,10,80,20,800,400,20,12,30
314,200,12,12,0,200,10,80,20,800,400,20,12,30
326,212,12,12,0,200,10,80,20,800,400,20,12,30
338,224,12,12,0,200,10,80,20,800,400,20,12,30
350,236,12,12,0,200,10,80,20,800,400,20,12,30
362,248,12,12,0,200,10,80,20,800,400,20,12,30
374,260,12,12,0,200,10,80,20,800,400,20,12,30
386,272,12,12,0,200,10,80,20,800,400,20,12,30
398,284,12,12,0,200,10,80,20,800,400,20,12,30
410,296,12,12,0,200,10,80,20,800,400,20,12,30
422,308,12,12,0,200,10,80,20,800,400,20,12,30
434,320,12,12,0,200,10,80,20,800,400,20,12,30
446,332,12,12,0,200,10,80,20,800,400,20,12,30
458,344,12,12,0,200,10,80,20,800,400,20,12,30
470,356,12,12,0,200,10,80,20,800,400,20,12,30
482,368,12,12,0,200,10,80,20,800,400,20,12,30
494,356,12,-12,0,200,10,80,20,800,400,20,12,30
506,344,12,-12,0,200,10,80,20,800,400,20,12,30
518,332,12,-12,0,200,10,80,20,800,400,20,12,30
530,320,12,-12,0,200,10,80,20,800,400,20,12,30
542,308,12,-12,0,200,10,80,20,800,400,20,12,30
554,296,12,-12,0,200,10,80,20,800,400,20,12,30
566,284,12,-12,0,200,10,80,20,800,400,20,12,30
578,272,12,-12,0,200,10,80,20,800,400,20,12,30
590,260,12,-12,0,200,10,80,20,800,400,20,12,30
602,248,12,-12,0,200,10,80,20,800,400,20,12,30
614,236,12,-12,0,200,10,80,20,800,400,20,12,30
626,224,12,-12,0,200,10,80,20,800,400,20,12,30
638,212,12,-12,0,200,10,80,20,800,400,20,12,30
650,200,12,-12,0,200,10,80,20,800,400,20,12,30
662,188,12,-12,0,200,10,80,20,800,400,20,12,30
674,176,12,-12,0,200,10,80,20,800,400,20,12,30
686,164,12,-12,0,200,10,80,20,800,400,20,12,30
698,152,12,-12,0,200,10,80,20,800,400,20,12,30
710,140,12,-12,0,200,10,80,20,800,400,20,12,30
722,128,12,-12,0,200,10,80,20,800,400,20,12,30
734,116,12,-12,0,200,10,80,20,800,400,20,12,30
746,104,12,-12,0,200,10,80,20,800,400,20,12,30
758,92,12,-12,0,200,10,80,20,800,400,20,12,30
770,80,12,-12,0,200,10,80,20,800,400,20,12,30
782,68,12,-12,0,200,10,80,20,800,400,20,12,30
758,207,-12,7,0,200,10,80,20,800,400,20,12,30
746,214,-12,7,0,200,10,80,20,800,400,20,12,30
734,221,-12,7,0,200,10,80,20,800,400,20,12,30
722,228,-12,7,0,200,10,80,20,800,400,20,12,30
710,235,-12,7,0,200,10,80,20,800,400,20,12,30
698,242,-12,7,0,200,10,80,20,800,400,20,12,30
686,249,-12,7,0,200,10,80,20,800,400,20,12,30
674,256,-12,7,0,200,10,80,20,800,400,20,12,30
662,263,-12,7,0,200,10,80,20,800,400,20,12,30
650,270,-12,7,0,200,10,80,20,800,400,20,12,30
638,277,-12,7,0,200,10,80,20,800,400,20,12,30
626,284,-12,7,0,200,10,80,20,800,400,20,12,30
614,291,-12,7,0,200,10,80,20,800,400,20,12,30
602,298,-12,7,0,200,10,80,20,800,400,20,12,30
590,305,-12,7,0,200,10,80,20,800,400,20,12,30
578,312,-12,7,0,200,10,80,20,800,400,20,12,30
566,319,-12,7,0,200,10,80,20,800,400,20,12,30
554,326,-12,7,0,200,10,80,20,800,400,20,12,30
542,333,-12,7,0,200,10,80,20,800,400,20,12,30
530,340,-12,7,0,200,10,80,20,800,400,20,12,30
518,347,-12,7,0,200,10,80,20,800,400,20,12,30
506,354,-12,7,0,200,10,80,20,800,400,20,12,30
494,361,-12,7,0,200,10,80,20,800,400,20,12,30
482,368,-12,7,0,200,10,80,20,800,400,20,12,30
470,361,-12,-7,0,200,10,80,20,800,400,20,12,30
458,354,-12,-7,0,200,10,80,20,800,400,20,12,30
446,347,-12,-7,0,200,10,80,20,800,400,20,12,30
434,340,-12,-7,0,200,10,80,20,800,400,20,12,30
422,333,-12,-7,0,200,10,80,20,800,400,20,12,30
410,326,-12,-7,0,200,10,80,20,800,400,20,12,30
398,319,-12,-7,0,200,10,80,20,800,400,20,12,30
386,312,-12,-7,0,200,10,80,20,800,400,20,12,30
374,305,-12,-7,0,200,10,80,20,800,400,20,12,30
362,298,-12,-7,0,200,10,80,20,800,400,20,12,30
350,291,-12,-7,0,200,10,80,20,800,400,20,12,30
338,284,-12,-7,0,200,10,80,20,800,400,20,12,30
326,277,-12,-7,0,200,10,80,20,800,400,20,12,30
314,270,-12,-7,0,200,10,80,20,800,400,20,12,30
302,263,-12,-7,0,200,10,80,20,800,400,20,12,30
290,256,-12,-7,0,200,10,80,20,800,400,20,12,30
278,249,-12,-7,0,200,10,80,20,800,400,20,12,30
266,242,-12,-7,0,200,10,80,20,800,400,20,12,30
254,235,-12,-7,0,200,10,80,20,800,400,20,12,30
242,228,-12,-7,0,200,10,80,20,800,400,20,12,30
230,221,-12,-7,0,200,10,80,20,800,400,20,12,30
218,214,-12,-7,0,200,10,80,20,800,400,20,12,30
206,207,-12,-7,0,200,10,80,20,800,400,20,12,30
194,200,-12,-7,0,200,10,80,20,800,400,20,12,30
182,193,-12,-7,0,200,10,80,20,800,400,20,12,30
170,186,-12,-7,0,200,10,80,20,800,400,20,12,30
158,179,-12,-7,0,200,10,80,20,800,400,20,12,30
146,172,-12,-7,0,200,10,80,20,800,400,20,12,30
134,165,-12,-7,0,200,10,80,20,800,400,20,12,30
122,158,-12,-7,0,200,10,80,20,800,400,20,12,30
110,151,-12,-7,0,200,10,80,20,800,400,20,12,30
98,144,-12,-7,0,200,10,80,20,800,400,20,12,30
86,137,-12,-7,0,200,10,80,20,800,400,20,12,30
74,130,-12,-7,0,200,10,80,20,800,400,20,12,30
62,123,-12,-7,0,200,10,80,20,800,400,20,12,30
50,116,-12,-7,0,200,10,80,20,800,400,20,12,30
38,109,-12,-7,0,200,10,80,20,800,400,20,12,30
50,102,12,-7,0,200,10,80,20,800,400,20,12,30
62,95,12,-7,0,200,10,80,20,800,400,20,12,30
74,88,12,-7,0,200,10,80,20,800,400,20,12,30
86,81,12,-7,0,200,10,80,20,800,400,20,12,30
98,74,12,-7,0,200,10,80,20,800,400,20,12,30
110,67,12,-7,0,200,10,80,20,800,400,20,12,30
122,60,12,-7,0,200,10,80,20,800,400,20,12,30
134,53,12,-7,0,200,10,80,20,800,400,20,12,30
146,46,12,-7,0,200,10,80,20,800,400,20,12,30
158,39,12,-7,0,200,10,80,20,800,400,20,12,30
170,32,12,-7,0,200,10,80,20,800,400,20,12,30
182,39,12,7,0,200,10,80,20,800,400,20,12,30
194,46,12,7,0,200,10,80,20,800,400,20,12,30
206,53,12,7,0,200,10,80,20,800,400,20,12,30
218,60,12,7,0,200,10,80,20,800,400,20,12,30
230,67,12,7,0,200,10,80,20,800,400,20,12,30
242,74,12,7,0,200,10,80,20,800,400,20,12,30
254,81,12,7,0,200,10,80,20,800,400,20,12,30
266,88,12,7,0,200,10,80,20,800,400,20,12,30
278,95,12,7,0,200,10,80,20,800,400,20,12,30
290,102,12,7,0,200,10,80,20,800,400,20,12,30
302,109,12,7,0,200,10,80,20,800,400,20,12,30
314,116,12,7,0,200,10,80,20,800,400,20,12,30
326,123,12,7,0,200,10,80,20,800,400,20,12,30
338,130,12,7,0,200,10,80,20,800,400,20,12,30
350,137,12,7,0,200,10,80,20,800,400,20,12,30
362,144,12,7,0,200,10,80,20,800,400,20,12,30
374,151,12,7,0,200,10,80,20,800,400,20,12,30
386,158,12,7,0,200,10,80,20,800,400,20,12,30
398,165,12,7,0,200,10,80,20,800,400,20,12,30
410,172,12,7,0,200,10,80,20,800,400,20,12,30
422,179,12,7,0,200,10,80,20,800,400,20,12,30
434,186,12,7,0,200,10,80,20,800,400,20,12,30
446,193,12,7,0,200,10,80,20,800,400,20,12,30
458,200,12,7,0,200,10,80,20,800,400,20,12,30
470,207,12,7,0,200,10,80,20,800,400,20,12,30
482,214,12,7,0,200,10,80,20,800,400,20,12,30
494,221,12,7,0,200,10,80,20,800,400,20,12,30
506,228,12,7,0,200,10,80,20,800,400,20,12,30
518,235,12,7,0,200,10,80,20,800,400,20,12,30
530,242,12,7,0,200,10,80,20,800,400,20,12,30
542,249,12,7,0,200,10,80,20,800,400,20,12,30
554,256,12,7,0,200,10,80,20,800,400,20,12,30
566,263,12,7,0,200,10,80,20,800,400,20,12,30
578,270,12,7,0,200,10,80,20,800,400,20,12,30
590,277,12,7,0,200,10,80,20,800,400,20,12,30
602,284,12,7,0,200,10,80,20,800,400,20,12,30
614,291,12,7,0,200,10,80,20,800,400,20,12,30
626,298,12,7,0,200,10,80,20,800,400,20,12,30
638,305,12,7,0,200,10,80,20,800,400,20,12,30
650,312,12,7,0,200,10,80,20,800,400,20,12,30
662,319,12,7,0,200,10,80,20,800,400,20,12,30
674,326,12,7,0,200,10,80,20,800,400,20,12,30
686,333,12,7,0,200,10,80,20,800,400,20,12,30
698,340,12,7,0,200,10,80,20,800,400,20,12,30
710,347,12,7,0,200,10,80,20,800,400,20,12,30
722,354,12,7,0,200,10,80,20,800,400,20,12,30
734,361,12,7,0,200,10,80,20,800,400,20,12,30
746,368,12,7,0,200,10,80,20,800,400,20,12,30
758,361,12,-7,0,200,10,80,20,800,400,20,12,30
770,354,12,-7,0,200,10,80,20,800,400,20,12,30
782,347,12,-7,0,200,10,80,20,800,400,20,12,30
758,201,-12,1,0,200,10,80,20,800,400,20,12,30
746,202,-12,1,0,200,10,80,20,800,400,20,12,30
734,203,-12,1,0,200,10,80,20,800,400,20,12,30
722,204,-12,1,0,200,10,80,20,800,400,20,12,30
710,205,-12,1,0,200,10,80,20,800,400,20,12,30
698,206,-12,1,0,200,10,80,20,800,400,20,12,30
686,207,-12,1,0,200,10,80,20,800,400,20,12,30
674,208,-12,1,0,200,10,80,20,800,400,20,12,30
662,209,-12,1,0,200,10,80,20,800,400,20,12,30
650,210,-12,1,0,200,10,80,20,800,400,20,12,30
638,211,-12,1,0,200,10,80,20,800,400,20,12,30
626,212,-12,1,0,200,10,80,20,800,400,20,12,30
614,213,-12,1,0,200,10,80,20,800,400,20,12,30
602,214,-12,1,0,200,10,80,20,800,400,20,12,30
590,215,-12,1,0,200,10,80,20,800,400,20,12,30
578,216,-12,1,0,200,10,80,20,800,400,20,12,30
566,217,-12,1,0,200,10,80,20,800,400,20,12,30
554,218,-12,1,0,200,10,80,20,800,400,20,12,30
542,219,-12,1,0,200,10,80,20,800,400,20,12,30
530,220,-12,1,0,200,10,80,20,800,400,20,12,30
518,221,-12,1,0,200,10,80,20,800,400,20,12,30
506,222,-12,1,0,200,10,80,20,800,400,20,12,30
494,223,-12,1,0,200,10,80,20,800,400,20,12,30
482,224,-12,1,0,200,10,80,20,800,400,20,12,30
470,225,-12,1,0,200,10,80,20,800,400,20,12,30
458,226,-12,1,0,200,10,80,20,800,400,20,12,30
446,227,-12,1,0,200,10,80,20,800,400,20,12,30
434,228,-12,1,0,200,10,80,20,800,400,20,12,30
422,229,-12,1,0,200,10,80,20,800,400,20,12,30
410,230,-12,1,0,200,10,80,20,800,400,20,12,30
398,231,-12,1,0,200,10,80,20,800,400,20,12,30
386,232,-12,1,0,200,10,80,20,800,400,20,12,30
374,233,-12,1,0,200,10,80,20,800,400,20,12,30
362,234,-12,1,0,200,10,80,20,800,400,20,12,30
350,235,-12,1,0,200,10,80,20,800,400,20,12,30
338,236,-12,1,0,200,10,80,20,800,400,20,12,30
326,237,-12,1,0,200,10,80,20,800,400,20,12,30
314,238,-12,1,0,200,10,80,20,800,400,20,12,30
302,239,-12,1,0,200,10,80,20,800,400,20,12,30
290,240,-12,1,0,200,10,80,20,800,400,20,12,30
278,241,-12,1,0,200,10,80,20,800,400,20,12,30
266,242,-12,1,0,200,10,80,20,800,400,20,12,30
254,243,-12,1,0,200,10,80,20,800,400,20,12,30
242,244,-12,1,0,200,10,80,20,800,400,20,12,30
230,245,-12,1,0,200,10,80,20,800,400,20,12,30
218,246,-12,1,0,200,10,80,20,800,400,20,12,30
206,247,-12,1,0,200,10,80,20,800,400,20,12,30
194,248,-12,1,0,200,10,80,20,800,400,20,12,30
182,249,-12,1,0,200,10,80,20,800,400,20,12,30
170,250,-12,1,0,200,10,80,20,800,400,20,12,30
158,251,-12,1,0,200,10,80,20,800,400,20,12,30
146,252,-12,1,0,200,10,80,20,800,400,20,12,30
134,253,-12,1,0,200,10,80,20,800,400,20,12,30
122,254,-12,1,0,200,10,80,20,800,400,20,12,30
110,255,-12,1,0,200,10,80,20,800,400,20,12,30
98,256,-12,1,0,200,10,80,20,800,400,20,12,30
86,257,-12,1,0,200,10,80,20,800,400,20,12,30
74,258,-12,1,0,200,10,80,20,800,400,20,12,30
62,259,-12,1,0,200,10,80,20,800,400,20,12,30
50,260,-12,1,0,200,10,80,20,800,400,20,12,30
38,261,-12,1,0,200,10,80,20,800,400,20,12,30
50,262,12,1,0,200,10,80,20,800,400,20,12,30
62,263,12,1,0,200,10,80,20,800,400,20,12,30
74,264,12,1,0,200,10,80,20,800,400,20,12,30
86,265,12,1,0,200,10,80,20,800,400,20,12,30
98,266,12,1,0,200,10,80,20,800,400,20,12,30
110,267,12,1,0,200,10,80,20,800,400,20,12,30
122,268,12,1,0,200,10,80,20,800,400,20,12,30
134,269,12,1,0,200,10,80,20,800,400,20,12,30
146,270,12,1,0,200,10,80,20,800,400,20,12,30
158,271,12,1,0,200,10,80,20,800,400,20,12,30
170,272,12,1,0,200,10,80,20,800,400,20,12,30
182,273,12,1,0,200,10,80,20,800,400,20,12,30
194,274,12,1,0,200,10,80,20,800,400,20,12,30
206,275,12,1,0,200,10,80,20,800,400,20,12,30
218,276,12,1,0,200,10,80,20,800,400,20,12,30
230,277,12,1,0,200,10,80,20,800,400,20,12,30
242,278,12,1,0,200,10,80,20,800,400,20,12,30
254,279,12,1,0,200,10,80,20,800,400,20,12,30
266,280,12,1,0,200,10,80,20,800,400,20,12,30
278,281,12,1,0,200,10,80,20,800,400,20,12,30
290,282,12,1,0,200,10,80,20,800,400,20,12,30
302,283,12,1,0,200,10,80,20,800,400,20,12,30
314,284,12,1,0,200,10,80,20,800,400,20,12,30
326,285,12,1,0,200,10,80,20,800,400,20,12,30
338,286,12,1,0,200,10,80,20,800,400,20,12,30
350,287,12,1,0,200,10,80,20,800,400,20,12,30
362,288,12,1,0,200,10,80,20,800,400,20,12,30
374,289,12,1,0,200,10,80,20,800,400,20,12,30
386,290,12,1,0,200,10,80,20,800,400,20,12,30
398,291,12,1,0,200,10,80,20,800,400,20,12,30
410,292,12,1,0,200,10,80,20,800,400,20,12,30
422,293,12,1,0,200,10,80,20,800,400,20,12,30
434,294,12,1,0,200,10,80,20,800,400,20,12,30
446,295,12,1,0,200,10,80,20,800,400,20,12,30
458,296,12,1,0,200,10,80,20,800,400,20,12,30
470,297,12,1,0,200,10,80,20,800,400,20,12,30
482,298,12,1,0,200,10,80,20,800,400,20,12,30
494,299,12,1,0,200,10,80,20,800,400,20,12,30
506,300,12,1,0,200,10,80,20,800,400,20,12,30
518,301,12,1,0,200,10,80,20,800,400,20,12,30
530,302,12,1,0,200,10,80,20,800,400,20,12,30
542,303,12,1,0,200,10,80,20,800,400,20,12,30
554,304,12,1,0,200,10,80,20,800,400,20,12,30
566,305,12,1,0,200,10,80,20,800,400,20,12,30
578,306,12,1,0,200,10,80,20,800,400,20,12,30
590,307,12,1,0,200,10,80,20,800,400,20,12,30
